datetime,open,high,low,close
2023-09-28,26355.8125,27259.5,26327.32227,27021.54688
2023-09-29,27024.8418,27225.9375,26721.76367,26911.7207
2023-09-30,26911.68945,27091.79492,26888.96875,26967.91602
2023-10-01,26967.39648,28047.23828,26965.09375,27983.75
2023-10-02,27976.79883,28494.45898,27347.78711,27530.78516
2023-10-03,27508.25195,27667.19141,27216.00195,27429.97852
2023-10-04,27429.07422,27826.6582,27248.10547,27799.39453
2023-10-05,27798.64648,28091.86133,27375.60156,27415.91211
2023-10-06,27412.12305,28252.53711,27215.55273,27946.59766
2023-10-07,27946.78125,28028.0918,27870.42383,27968.83984
2023-10-08,27971.67773,28102.16992,27740.66211,27935.08984
2023-10-09,27934.47266,27989.4707,27302.5625,27583.67773
2023-10-10,27589.20117,27715.84766,27301.6543,27391.01953
2023-10-11,27392.07617,27474.11523,26561.09961,26873.32031
2023-10-12,26873.29297,26921.43945,26558.32031,26756.79883
2023-10-13,26752.87891,27092.69727,26686.32227,26862.375
2023-10-14,26866.20312,26969.0,26814.58594,26861.70703
2023-10-15,26858.01172,27289.16992,26817.89453,27159.65234
2023-10-16,27162.62891,29448.13867,27130.47266,28519.4668
2023-10-17,28522.09766,28618.75195,28110.18555,28415.74805
2023-10-18,28413.53125,28889.00977,28174.25195,28328.3418
2023-10-19,28332.41602,28892.47461,28177.98828,28719.80664
2023-10-20,28732.8125,30104.08594,28601.66992,29682.94922
2023-10-21,29683.38086,30287.48242,29481.75195,29918.41211
2023-10-22,29918.6543,30199.43359,29720.3125,29993.89648
2023-10-23,30140.68555,34370.4375,30097.82812,33086.23438
2023-10-24,33077.30469,35150.43359,32880.76172,33901.52734
2023-10-25,33916.04297,35133.75781,33709.10938,34502.82031
2023-10-26,34504.28906,34832.91016,33762.32422,34156.64844
2023-10-27,34156.5,34238.21094,33416.88672,33909.80078
2023-10-28,33907.72266,34399.39062,33874.80469,34089.57422
2023-10-29,34089.37109,34743.26172,33947.56641,34538.48047
2023-10-30,34531.74219,34843.93359,34110.97266,34502.36328
2023-10-31,34500.07812,34719.25391,34083.30859,34667.78125
2023-11-01,34657.27344,35527.92969,34170.69141,35437.25391
2023-11-02,35441.57812,35919.84375,34401.57422,34938.24219
2023-11-03,34942.47266,34942.47266,34133.44141,34732.32422
